filename,x,y,brightness,area
eos_rp_sample_gergo_kazsimer_south_africa_21-(1)_0b8c6d46874e4fef8477e1bb40c85889.jpeg,463,267,201,34.0
TommyRichardsen1.jpg,300,98,180,28.0
TommyRichardsen1.jpg,310,145,177,361.5
TommyRichardsen1.jpg,315,125,176,22.0
TommyRichardsen1.jpg,396,298,169,12705.5
eos_rp_sample_gergo_kazsimer_south_africa_21-(1)_0b8c6d46874e4fef8477e1bb40c85889.jpeg,767,390,168,49.5
eos_rp_sample_gergo_kazsimer_south_africa_21-(1)_0b8c6d46874e4fef8477e1bb40c85889.jpeg,228,404,155,12.5
eos_rp_sample_gergo_kazsimer_south_africa_21-(1)_0b8c6d46874e4fef8477e1bb40c85889.jpeg,316,416,153,15.5
TommyRichardsen1.jpg,641,317,152,68.0
eos_rp_sample_gergo_kazsimer_south_africa_21-(1)_0b8c6d46874e4fef8477e1bb40c85889.jpeg,220,400,151,17.5
TommyRichardsen1.jpg,694,309,151,29.5
TommyRichardsen1.jpg,295,134,151,19.5
eos_rp_sample_gergo_kazsimer_south_africa_21-(1)_0b8c6d46874e4fef8477e1bb40c85889.jpeg,293,414,150,19.0
eos_rp_sample_gergo_kazsimer_south_africa_21-(1)_0b8c6d46874e4fef8477e1bb40c85889.jpeg,203,402,150,26.0
TommyRichardsen1.jpg,675,312,149,27.5
TommyRichardsen1.jpg,315,249,146,28.5
